"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","A309-ND","48-6554-11","CONN IC DIP SOCKET ZIF 48POS GLD","","1","0","32.61000","32.61"
"2","1","114-SG3225VAN100.000000M-KEGA0CT-ND","SG3225VAN 100.000000M-KEGA0","XTAL OSC XO 100.0000MHZ LVDS SMD","","1","0","3.18000","3.18"
"3","3","732-5334-ND","61304011121","CONN HEADER VERT 40POS 2.54MM","","3","0","1.53000","4.59"
"4","1","WM10292-ND","1718561008","CONN HEADER VERT 8POS 2.54MM","","1","0","1.37000","1.37"
"5","2","ATTINY44A-MMHRCT-ND","ATTINY44A-MMHR","IC MCU 8BIT 4KB FLASH 20VQFN","","2","0","1.13000","2.26"
"6","2","311-100HRCT-ND","RC0603FR-07100RL","RES 100 OHM 1% 1/10W 0603","","2","0","0.10000","0.20"
"7","2","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","2","0","0.10000","0.20"
"8","4","311-1088-1-ND","CC0603KRX7R7BB104","CAP CER 0.1UF 16V X7R 0603","","4","0","0.10000","0.40"
"9","6","13-CC0603KPX7R7BB105CT-ND","CC0603KPX7R7BB105","CAP CER 1UF 16V X7R 0603","","6","0","0.14000","0.84"
"10","1","BAT60AE6327HTSA1CT-ND","BAT60AE6327HTSA1","DIODE SCHOTTKY 10V 3A SOD323-2","","1","0","0.44000","0.44"
"11","2","612-QTE-020-01-F-D-A-CT-ND","QTE-020-01-F-D-A-TR","CONN HDR 40POS SMD GOLD","","2","0","9.62000","19.24"
"12","1","296-46351-1-ND","TLV1117LV18DCYT","IC REG LINEAR 1.8V 1A SOT223-4","","1","0","1.09000","1.09"
